sentence_id,psa_id,Domain,source_text,token_count,Source,status
psa_2026_000013_s01,psa_2026_000013,Governance,IEBC Engages Tana River Stakeholders to Boost Voter Registration14th Apr 2026.,11,https://www.iebc.or.ke/news/?IEBC_Engages_Tana_River_Stakeholders_to_Boost_Voter_Registration,awaiting_nllb_seed
psa_2026_000013_s02,psa_2026_000013,Governance,"Independent Electoral and Boundaries Commission(IEBC) Vice Chairperson Fahima Araphat Abdallah, OGW, together with Hon.",14,https://www.iebc.or.ke/news/?IEBC_Engages_Tana_River_Stakeholders_to_Boost_Voter_Registration,awaiting_nllb_seed
psa_2026_000013_s03,psa_2026_000013,Governance,"Danson Mungatana, MGH, PhD, Senator for Tana River County and IEBC Tana River County Elections Manager Yonah Ogalo, held a stakeholders’ engagement meeting on the Enhanced Continuous Voter Registration (ECVR) exercise.",31,https://www.iebc.or.ke/news/?IEBC_Engages_Tana_River_Stakeholders_to_Boost_Voter_Registration,awaiting_nllb_seed
psa_2026_000013_s04,psa_2026_000013,Governance,The Vice Chairperson urged residents of Tana River County to exercise their democratic duty by registering as voters in preparation for the #2027GE.,23,https://www.iebc.or.ke/news/?IEBC_Engages_Tana_River_Stakeholders_to_Boost_Voter_Registration,awaiting_nllb_seed
psa_2026_000014_s01,psa_2026_000014,Governance,Register as a Voter Today!10th Apr 2026.,7,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today!,awaiting_nllb_seed
psa_2026_000014_s02,psa_2026_000014,Governance,You do not need to travel to your home county to register.,12,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today!,awaiting_nllb_seed
psa_2026_000014_s03,psa_2026_000014,Governance,"The Commission has deployed open kits, which allow a citizen to register as a voter for any polling station in Kenya from the registration center near you.",27,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today!,awaiting_nllb_seed
psa_2026_000014_s04,psa_2026_000014,Governance,Enhanced Continuous Voter Registration (ECVR) will take place for 30days upto Tuesday 28th April 2026.,15,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today!,awaiting_nllb_seed
psa_2026_000014_s05,psa_2026_000014,Governance,Voter Registration during ECVR will take place in: County Assembly Wards on a rotational basis in accordance with kit movement schedules Universities and Colleges in respective Constituencies Huduma Centres IEBC Cu,31,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today!,awaiting_nllb_seed
psa_2026_000015_s01,psa_2026_000015,Governance,Register as a Voter Today7th Apr 2026.,7,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today,awaiting_nllb_seed
psa_2026_000015_s02,psa_2026_000015,Governance,Enhanced Continuous Voter Registration (ECVR) will take place for 30days upto Tuesday 28th April 2026.,15,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today,awaiting_nllb_seed
psa_2026_000015_s03,psa_2026_000015,Governance,"Voter Registration during ECVR will take place in: County Assembly Wards on a rotational basis in accordance with kit movement schedules Universities and Colleges in respective Constituencies Huduma Centres IEBC Customer Experience Center - Anniversary Towers, Nairobi IEBC Constituency offices NB: ECVR shall NOT be undertaken in electoral areas with scheduled by-elections (Porro Ward, Endo Ward, Emurua Dikirr Constituency and O",61,https://www.iebc.or.ke/news/?Register_as_a_Voter_Today,awaiting_nllb_seed
psa_2026_000016_s01,psa_2026_000016,Governance,Where to Register as a Voter during ECVR7th Apr 2026.,10,https://www.iebc.or.ke/news/?Where_to_Register_as_a_Voter_during_ECVR,awaiting_nllb_seed
psa_2026_000016_s02,psa_2026_000016,Governance,Where to Register as a Voter during ECVR?,8,https://www.iebc.or.ke/news/?Where_to_Register_as_a_Voter_during_ECVR,awaiting_nllb_seed
psa_2026_000016_s03,psa_2026_000016,Governance,"County Assembly Wards on a rotational basis in accordance with kit movement schedules Universities and Colleges in respective Constituencies Huduma Centres IEBC Customer Experience Center - Anniversary Towers, Nairobi IEBC Constituency offices To Update particulars of your Registration: Visit the IEBC Constituency office where you are Registered To Transfer your Registration Centre: Visit the IEBC Constituency office where you wish to transfer NB: ECVR shall NOT be undertaken in electoral areas with",72,https://www.iebc.or.ke/news/?Where_to_Register_as_a_Voter_during_ECVR,awaiting_nllb_seed
psa_2026_000018_s01,psa_2026_000018,Governance,Should those who registered before 2012 as voters need to register afresh?,12,https://www.iebc.or.ke/news/?CLARIFICATION,awaiting_nllb_seed
psa_2026_000018_s02,psa_2026_000018,Governance,Not at all UNLESS they DID NOT register as voters from 2012 when the new Register of Voter (ROV) was established under the new Constitution of Kenya 2010 and boundaries delimitation of 2012.,33,https://www.iebc.or.ke/news/?CLARIFICATION,awaiting_nllb_seed
psa_2026_000018_s03,psa_2026_000018,Governance,"Because before 2012, the ROV was manual.",7,https://www.iebc.or.ke/news/?CLARIFICATION,awaiting_nllb_seed
psa_2026_000018_s04,psa_2026_000018,Governance,"In 2012, it went BIOMETRIC and so all eligible Kenyans were required to enrol and their Biometrics captured.",18,https://www.iebc.or.ke/news/?CLARIFICATION,awaiting_nllb_seed
psa_2026_000018_s05,psa_2026_000018,Governance,This is the ROV that has been in place since 2013.,11,https://www.iebc.or.ke/news/?CLARIFICATION,awaiting_nllb_seed
psa_2026_000018_s06,psa_2026_000018,Governance,"As of the 2022 General Election, the Commission maintained an accurate and audited register compri",15,https://www.iebc.or.ke/news/?CLARIFICATION,awaiting_nllb_seed
psa_2026_000019_s01,psa_2026_000019,Governance,Voter Registration Services available to Citizens during ECVR7th Apr 2026.,10,https://www.iebc.or.ke/news/?Voter_Registration_Services_available_to_Citizens_during_ECVR,awaiting_nllb_seed
psa_2026_000019_s02,psa_2026_000019,Governance,Voter Registration Services available to Citizens during ECVR? 1.,9,https://www.iebc.or.ke/news/?Voter_Registration_Services_available_to_Citizens_during_ECVR,awaiting_nllb_seed
psa_2026_000019_s03,psa_2026_000019,Governance,"Voter Registration ECVR is taking place in County Assembly Wards, Universities and Colleges in respective Constituencies, Huduma Centres, IEBC Customer Experience Center -Anniversary Towers, Nairobi and IEBC Constituency offices 2.",30,https://www.iebc.or.ke/news/?Voter_Registration_Services_available_to_Citizens_during_ECVR,awaiting_nllb_seed
psa_2026_000019_s04,psa_2026_000019,Governance,Application of transfer of registration Visit the IEBC Constituency Office where you wish to transfer to 3.,17,https://www.iebc.or.ke/news/?Voter_Registration_Services_available_to_Citizens_during_ECVR,awaiting_nllb_seed
psa_2026_000019_s05,psa_2026_000019,Governance,Correction or update of voter particulars Visit the IEBC Constituency Office where you are Registered 4.,16,https://www.iebc.or.ke/news/?Voter_Registration_Services_available_to_Citizens_during_ECVR,awaiting_nllb_seed
psa_2026_000020_s01,psa_2026_000020,Governance,"Registration services shall be provided daily, from Monday to Sunday.",10,https://www.iebc.or.ke/news/?Register_Today!,awaiting_nllb_seed
psa_2026_000020_s02,psa_2026_000020,Governance,Registered voters wishing to Transfer their vote to a different electoral area shall present themselves at the IEBC Constituency Office of their preferred electoral area.,25,https://www.iebc.or.ke/news/?Register_Today!,awaiting_nllb_seed
psa_2026_000020_s03,psa_2026_000020,Governance,Registered voters seeking to update or correct their registration details shall present themselves at the IEBC Constituency Office where they are currently registered.,23,https://www.iebc.or.ke/news/?Register_Today!,awaiting_nllb_seed
psa_2026_000020_s04,psa_2026_000020,Governance,The Commission shall issue a separate notice on voter registration and revision of the register for citizens residing outside the country and for prisoners.,24,https://www.iebc.or.ke/news/?Register_Today!,awaiting_nllb_seed
psa_2026_000022_s01,psa_2026_000022,Governance,Happy Eid ul Fitr20th Mar 2026.,6,https://www.iebc.or.ke/news/?Happy_Eid_ul_Fitr,awaiting_nllb_seed
psa_2026_000022_s02,psa_2026_000022,Governance,Happy Eid ul Fitr The Independent Electoral and Boundaries Commission(IEBC) extends warm greetings to all Kenyans celebrating Eid ul Fitr.,20,https://www.iebc.or.ke/news/?Happy_Eid_ul_Fitr,awaiting_nllb_seed
psa_2026_000022_s03,psa_2026_000022,Governance,May the spirit of compassion and togetherness that define this season strengthen our nation.,14,https://www.iebc.or.ke/news/?Happy_Eid_ul_Fitr,awaiting_nllb_seed
psa_2026_000023_s01,psa_2026_000023,Governance,"Huduma Centre Kimilili Handover Boosts Service Delivery. icon Mar 18,2026 icon 3 Huduma Centre Kimilili Handover Boosts Service Delivery Huduma Centre Kimilili was officially handed over from the National Government Constituencies Development Fund (NG‐CDF) Kimilili to Huduma Kenya, with CEO Mr.",41,https://www.hudumakenya.go.ke/newsdetails/98,awaiting_nllb_seed
psa_2026_000023_s02,psa_2026_000023,Governance,Ben Kai Chilumo representing the organization and Chairman NG‐CDF Kimilili Constituency Mr.,12,https://www.hudumakenya.go.ke/newsdetails/98,awaiting_nllb_seed
psa_2026_000023_s03,psa_2026_000023,Governance,George Simiyu Nyaranga presiding over the ceremony.,7,https://www.hudumakenya.go.ke/newsdetails/98,awaiting_nllb_seed
psa_2026_000023_s04,psa_2026_000023,Governance,"The milestone enhances public service delivery by increasing citizen access to integrated, efficient, and decentralized government services. search Recent News",20,https://www.hudumakenya.go.ke/newsdetails/98,awaiting_nllb_seed
psa_2026_000024_s01,psa_2026_000024,Governance,"CS and PS Urge Professionalism and Integrity in Public Service Contracting. icon Feb 26,2026 icon 3 CS and PS Urge Professionalism and Integrity in Public Service Contracting Cabinet Secretary for Public Service, Human Capital Development and Special Programmes, Hon.",39,https://www.hudumakenya.go.ke/newsdetails/97,awaiting_nllb_seed
psa_2026_000024_s02,psa_2026_000024,Governance,"Geoffrey Kiringa Ruku, presided over the signing of performance contracts by State Departments under the Ministry at Harambee House.",19,https://www.hudumakenya.go.ke/newsdetails/97,awaiting_nllb_seed
psa_2026_000024_s03,psa_2026_000024,Governance,"He cautioned officers against complacency, stressing accountability to the commitments made and urging professionalism, efficiency, and dedication in public service.",20,https://www.hudumakenya.go.ke/newsdetails/97,awaiting_nllb_seed
psa_2026_000025_s01,psa_2026_000025,Governance,"Huduma Kenya and UFAA Launch Universal Public Servants Training Programme. icon Jan 12,2026 icon 3 Huduma Kenya and UFAA Launch Universal Public Servants Training Programme Huduma Kenya and UFAA Launch Universal Public Servants Training Programme Earlier today, the CEO of Huduma Kenya, Ben Kai Chilumo, alongside the CEO of the Unclaimed Financial Assets Authority (UFAA), CPA Laban Molonko, officially launched the Huduma Kenya Universal Public Servants training programme.",68,https://www.hudumakenya.go.ke/newsdetails/96,awaiting_nllb_seed
psa_2026_000025_s02,psa_2026_000025,Governance,The initiative marks a major step in expanding access to UFAA services across all 59 Huduma Centres nationwide.,18,https://www.hudumakenya.go.ke/newsdetails/96,awaiting_nllb_seed
psa_2026_000027_s01,psa_2026_000027,Governance,Commission Prepares for ECVR with Structured Nationwide Training Programme16th Mar 2026.,11,https://www.iebc.or.ke/news/?Commission_Prepares_for_ECVR_with_Structured_Nationwide_Training_Programme,awaiting_nllb_seed
psa_2026_000027_s02,psa_2026_000027,Governance,"In preparation for the upcoming Enhanced Continuous Voter Registration (ECVR) scheduled to begin on 30th March 2026, the Commission has adopted a structured cascaded training model.",26,https://www.iebc.or.ke/news/?Commission_Prepares_for_ECVR_with_Structured_Nationwide_Training_Programme,awaiting_nllb_seed
psa_2026_000027_s03,psa_2026_000027,Governance,"The training process begins with development of content by Master Trainers, followed by the Training of Trainers (ToTs), and culminates in cluster-level operational training for Registration Officers, Assistant Registration Officers, and temporary registration officials who will carry out the registration exercise during the EC",44,https://www.iebc.or.ke/news/?Commission_Prepares_for_ECVR_with_Structured_Nationwide_Training_Programme,awaiting_nllb_seed
psa_2026_000028_s01,psa_2026_000028,Governance,Come hang out with comrades at the Catholic University of Eastern Africa (CUEA) Cultural Week 202611th Mar 2026.,18,https://www.iebc.or.ke/news/?Come_hang_out_with_comrades_at_the_Catholic_University_of_Eastern_Africa_(CUEA)_Cultural_Week_2026,awaiting_nllb_seed
psa_2026_000028_s02,psa_2026_000028,Governance,Come hang out with comrades at The Catholic University of Eastern Africa (CUEA) Cultural Week 2026.,16,https://www.iebc.or.ke/news/?Come_hang_out_with_comrades_at_the_Catholic_University_of_Eastern_Africa_(CUEA)_Cultural_Week_2026,awaiting_nllb_seed
psa_2026_000028_s03,psa_2026_000028,Governance,"While at it, visit the Independent Electoral and Boundaries Commission(IEBC) stand to: i.",13,https://www.iebc.or.ke/news/?Come_hang_out_with_comrades_at_the_Catholic_University_of_Eastern_Africa_(CUEA)_Cultural_Week_2026,awaiting_nllb_seed
psa_2026_000028_s04,psa_2026_000028,Governance,Verify your registration details Your vote is your voice! #ECVR2026 #YourVoteYourFuture #TalkwithIEBC #StopFakeNews,13,https://www.iebc.or.ke/news/?Come_hang_out_with_comrades_at_the_Catholic_University_of_Eastern_Africa_(CUEA)_Cultural_Week_2026,awaiting_nllb_seed
psa_2026_000029_s01,psa_2026_000029,Governance,IEBC Appears Before JLAC on 2025/2026 Supplementary Budget Estimates11th Mar 2026.,11,https://www.iebc.or.ke/news/?IEBC_Appears_Before_JLAC_on_2025/2026_Supplementary_Budget_Estimates,awaiting_nllb_seed
psa_2026_000029_s02,psa_2026_000029,Governance,"Independent Electoral and Boundaries Commission (IEBC), led by the Commission Vice Chairperson Fahima Araphat Abdallah, OGW today honored an invitation from the National Assembly’s Departmental Committee on Justice and Legal Affairs (JLAC) to present on the supplementary estimates for the year 2025/2026.",42,https://www.iebc.or.ke/news/?IEBC_Appears_Before_JLAC_on_2025/2026_Supplementary_Budget_Estimates,awaiting_nllb_seed
psa_2026_000029_s03,psa_2026_000029,Governance,"John Gitonga Murugara of Tharaka Constituency, reviewed Commission programs and projects that are impacted by funding shortages, that require re-allocation or consideration for the",24,https://www.iebc.or.ke/news/?IEBC_Appears_Before_JLAC_on_2025/2026_Supplementary_Budget_Estimates,awaiting_nllb_seed
psa_2026_000030_s01,psa_2026_000030,Governance,IEBC engages Vice Chancellors and leaders of universities and colleges and security agencies to enhance participation in electoral processes16th Feb 2026.,21,https://www.iebc.or.ke/news/?IEBC_engages_Vice_Chancellors_and_leaders_of_universities_and_colleges_and_security_agencies_to_enhance_participation_in_electoral_processes_,awaiting_nllb_seed
psa_2026_000030_s02,psa_2026_000030,Governance,"Today, the Commission, represented by Commissioner Dr.",7,https://www.iebc.or.ke/news/?IEBC_engages_Vice_Chancellors_and_leaders_of_universities_and_colleges_and_security_agencies_to_enhance_participation_in_electoral_processes_,awaiting_nllb_seed
psa_2026_000030_s03,psa_2026_000030,Governance,"Alutalala Mukhwana, joined Vice Chancellors and leaders of universities and colleges, alongside security agencies, under the Jukwaa la Wasomi platform convened by the Universities and Colleges Students’ Peace Association of Kenya (UCSPAK).",32,https://www.iebc.or.ke/news/?IEBC_engages_Vice_Chancellors_and_leaders_of_universities_and_colleges_and_security_agencies_to_enhance_participation_in_electoral_processes_,awaiting_nllb_seed
psa_2026_000030_s04,psa_2026_000030,Governance,"The meeting focused on the role of universities and colleges in promoting security, peace, and participation in electoral processes.",19,https://www.iebc.or.ke/news/?IEBC_engages_Vice_Chancellors_and_leaders_of_universities_and_colleges_and_security_agencies_to_enhance_participation_in_electoral_processes_,awaiting_nllb_seed
psa_2026_000031_s01,psa_2026_000031,Governance,Beware of fraudulent job advertisements on social media.,8,https://www.iebc.or.ke/news/?Fake_Jobs_Alert!,awaiting_nllb_seed
psa_2026_000031_s02,psa_2026_000031,Governance,"IEBC official jobs portal is https://jobs.iebc.or.ke/ For accurate and up-to-date information, please visit our official website ( https://www.iebc.or.ke/ ) and our verified social media platforms @IEBCKenya. #26thFebByelections | #YourVoteYourFuture | #TalkwithIEBC | #StopFakeNews",33,https://www.iebc.or.ke/news/?Fake_Jobs_Alert!,awaiting_nllb_seed
psa_2026_000035_s01,psa_2026_000035,Governance,We are hiring22nd Jan 2026. https://jobs.iebc.or.ke We are hiring!,9,https://www.iebc.or.ke/news/?We_are_hiring,awaiting_nllb_seed
psa_2026_000035_s02,psa_2026_000035,Governance,The Commission invites qualified applicants to apply for the following temporary positions for the #26thFebByelections: 1.,16,https://www.iebc.or.ke/news/?We_are_hiring,awaiting_nllb_seed
psa_2026_000035_s03,psa_2026_000035,Governance,Presiding and Deputy Presiding Officers 3.,6,https://www.iebc.or.ke/news/?We_are_hiring,awaiting_nllb_seed
psa_2026_000035_s04,psa_2026_000035,Governance,Polling/Counting Clerks The Temporary jobs are for the following #26thFebByelections areas: 1.,12,https://www.iebc.or.ke/news/?We_are_hiring,awaiting_nllb_seed
psa_2026_000035_s05,psa_2026_000035,Governance,"Muminji CAW /0329 Submit your application online via: https://jobs.iebc.or.ke Application deadline: Monday January 26th 2026 Your Vote, Your Future #26thFe",20,https://www.iebc.or.ke/news/?We_are_hiring,awaiting_nllb_seed
psa_2026_000036_s01,psa_2026_000036,Governance,Commission hosts Lesotho Ministry of Justice and Law delegation benchmarking on poll management13th Dec 2025.,15,https://www.iebc.or.ke/news/?Commission_hosts_Lesotho_Ministry_of_Justice_and_Law_delegation_benchmarking_on_poll_management,awaiting_nllb_seed
