PSA_ID,Domain,English,Kiswahili,Target Languages,Source,Metadata
PSA_GOV_3cb874,Governance,"From powering homes and industries to advancing clean energy, environmental stewardship, and community development, the report showcases the company's commitment to sustainable growth.",,,PressRelease Feed,Language: en
PSA_EDU_bf5fa6,Education,President William Ruto at 60th anniversary Burieruri Boys Senior School.,,,PressRelease Feed,Language: en
PSA_EDU_9dd392,Education,"President William Ruto at 60th anniversary celebrations of Burieruri Boys Senior School in Igembe, Meru.",,,PressRelease Feed,Language: en
PSA_GOV_12d8fe,Governance,Muranga County Governor Irungu Kangata Commissions Kayole Smart City Project.,,,PressRelease Feed,Language: en
PSA_GOV_a4a0f6,Governance,Irungu Kangata officially commissioned the Kayole Smart City project.,,,PressRelease Feed,Language: en
PSA_GOV_ee2b3e,Governance,"Kenya Produces 5.4 billion litres of milk annually, largest in Africa - Ministry of Agriculture.",,,PressRelease Feed,Language: en
PSA_AGR_36fe82,Agriculture,"Mutahi Kagwe presided over the handover of milk coolers to Mukurweini Wakulima Dairy Farmers Limited as the government accelerated the rollout of Quality-Based Milk Payment (QBMP), a system that will reward dairy farmers based on milk quality rather than quantity.",,,PressRelease Feed,Language: en
PSA_HEA_429869,Health,"Kenya, which produces about 5.4 billion litres of milk annually, is promoting improved animal nutrition, disease control, hygienic milking and proper milk handling to boost milk quality, reduce losses and increase farmers’ earnings.",,,PressRelease Feed,Language: en
PSA_GOV_ff1696,Governance,A total of 32 milk coolers have been distributed across Nyeri County to help preserve milk quality and meet premium market standards.,,,PressRelease Feed,Language: en
PSA_GOV_6ff983,Governance,"The ministry also promoted value addition through products such as milk powder, cheese, butter and yoghurt to expand exports, create jobs and reduce surplus losses.",,,PressRelease Feed,Language: en
PSA_GOV_a630db,Governance,"The programme includes strengthening dairy cooperatives, providing 500 doses of sexed semen through the Kenya Animal Genetic Resources Centre to improve dairy herds, and supporting broader agricultural production with 70,000 coffee seedlings, 70,000 avocado seedlings and 50,000 macadamia seedlings for farmers.",,,PressRelease Feed,Language: en
PSA_HEA_976a15,Health,Ministry of Health Statement on Posting 6360 Healthcare Interns.,,,PressRelease Feed,Language: en
PSA_HEA_e79ec7,Health,"Ministry of Health Statement on Posting 6360 Healthcare Officer for Internship ( Medical, Dental, Pharmacy, BSc Nursing, BSc Clinical and Clinical Officer).",,,PressRelease Feed,Language: en
PSA_GOV_f16e42,Governance,"Kenya Secure KSh 7.8 Billion Financing from Germany for Energy, Trade and Digital Growth.",,,PressRelease Feed,Language: en
PSA_GOV_05dad1,Governance,"Kenya and Germany concluded the Kenya–Germany Biennial Government-to-Government Negotiations on Development Cooperation in Berlin, securing KSh 7.8 billion in new technical and financial cooperation for 2026–2028.",,,PressRelease Feed,Language: en
PSA_AGR_fa4cf8,Agriculture,"The funding will support private sector development, trade and investment, digital transformation, technical and vocational education, labour mobility, renewable energy, e-mobility, climate action, irrigation, climate-smart agriculture, food systems and governance.",,,PressRelease Feed,Language: en
PSA_GOV_9d2283,Governance,Germany is also considering an additional KSh 4 billion for Kenya’s energy sector.,,,PressRelease Feed,Language: en
PSA_GOV_7f8f80,Governance,The negotiations were led by National Treasury Principal Secretary Dr.,,,PressRelease Feed,Language: en
PSA_GOV_cd3827,Governance,Chris Kiptoo and Germany’s Parliamentary State Secretary Dr.,,,PressRelease Feed,Language: en
PSA_HEA_573bd4,Health,Machakos County Introduces Medical Microwave Shredder at Kangundo Level 4 Hospital.,,,PressRelease Feed,Language: en
PSA_HEA_825731,Health,"Machakos Governor and Deputy Governor Francis Mwangangi on June 26, 2026 commissioned a Medical Microwave Shredder at Kangundo Level 4 Hospital in Machakos County..",,,PressRelease Feed,Language: en
PSA_HEA_1a6840,Health,"The  Shredder will facilitate the safe treatment and disposal of infectious medical waste, enhance infection prevention measures, protect healthcare workers, and reduce environmental risks.",,,PressRelease Feed,Language: en
PSA_GOV_629d13,Governance,Gen Z Youth Arrested in June 25 Protests Appear Before Court.,,,PressRelease Feed,Language: en
PSA_GOV_b9bdb8,Governance,"Gen Z protesters arrested during the June 25, 2026, demonstrations, including online personalities Mr.",,,PressRelease Feed,Language: en
PSA_SEC_df17ef,Security,"Speaker Sir and Vindee, were presented before Milimani Law Courts following their detention at Central Police Station.",,,PressRelease Feed,Language: en
PSA_GOV_d4ac5a,Governance,Money Management and Business Finance for Youth - Co-operative Bank Youth Forum Live.,,,PressRelease Feed,Language: en
PSA_EDU_1a4471,Education,"Join the Co-operative Bank Youth Forum for an engaging financial training session designed for students, young professionals, entrepreneurs, and job seekers.",,,PressRelease Feed,Language: en
PSA_GOV_c16caa,Governance,"Learn practical money management skills, budgeting strategies, saving and investment tips, business finance fundamentals, and career-focused financial planning.",,,PressRelease Feed,Language: en
PSA_GOV_b2bb1a,Governance,TSC Statement on Changes in Teachers PAYE Tax in June 2026.,,,PressRelease Feed,Language: en
PSA_GOV_4004a2,Governance,Teachers Service Commission (TSC) Statement On Changes (increase) in  Teachers&amp;#039; Pay as you earn (PAYE() tax in June 2026.,,,PressRelease Feed,Language: en
PSA_GOV_1acb85,Governance,"CBK, Clearstream Launch Kenya Government Securities for International Investors.",,,PressRelease Feed,Language: en
PSA_GOV_a6dcd9,Governance,"The Central Bank of Kenya (CBK) and Clearstream on June 25, 2026 launched the Clearstream-Kenya Link, enabling international institutional investors to access Kenyan government securities through the Government Central Securities Depository (DhowCSD).",,,PressRelease Feed,Language: en
PSA_GOV_9a2ae7,Governance,The link becomes Clearstream’s 60th domestic market connection worldwide and its second in Africa after South Africa.,,,PressRelease Feed,Language: en
PSA_GOV_b4c629,Governance,"National Assembly Proceedings Thursday June, 2026.",,,PressRelease Feed,Language: en
PSA_GOV_d2c468,Governance,"National Assembly Proceedings Thursday June, 2026 - During Gen Protest Commemoration Day",,,PressRelease Feed,Language: en
PSA_GOV_5ee8bd,Governance,President Inspects Bomas International Convention Complex - Live.,,,PressRelease Feed,Language: en
PSA_GOV_b469c8,Governance,"President Inspects Bomas International Convention Complex, formerly Bomas of Kenya.",,,PressRelease Feed,Language: en
PSA_GOV_cf0b4a,Governance,William Kabogo Launches Three Digital Hubs in Ol Kalou.,,,PressRelease Feed,Language: en
PSA_GOV_0fb763,Governance,"Cabinet Secretary for Information, Communications and the Digital Economy William Kabogo Gitau on June 24, 2026 launched three digital hubs in Ol Kalou Constituency, Nyandarua County: Wiyumiririe Digital Hub in Kanjuiri Ward, Mirangine Digital Hub in Mirangine Ward, and Passenga Digital Hub in Rurii Ward.",,,PressRelease Feed,Language: en
PSA_GOV_edf936,Governance,The ICT Authority equipped the hubs with internet connectivity and conducted digital skills training ahead of the launch.,,,PressRelease Feed,Language: en
PSA_EDU_990273,Education,"The centres are expected to provide youth, students and entrepreneurs with digital skills, affordable internet access and opportunities in the digital economy.",,,PressRelease Feed,Language: en
PSA_GOV_d517e9,Governance,SHA Statement on Temporary Suspension of M.P.,,,PressRelease Feed,Language: en
PSA_HEA_6b4fc1,Health,Social Health Authority (SHA)  Statement On Temporary Suspension Of M.P.,,,PressRelease Feed,Language: en
PSA_GOV_88db03,Governance,US renews strikes on Iran as Trump threatens to attack underground nuclear site.,,,KBC Feed,Language: en
PSA_GOV_2fd803,Governance,"The US launched strikes on Iran for the 11th consecutive night late on Tuesday, as Tehran warned the US against targeting its nuclear facilities.",,,KBC Feed,Language: en
PSA_GOV_76d21e,Governance,US Central Command (Centcom) said the wave of strikes were &#8220;designed to continue degrading Iran&#8217;s ability to threaten commercial shipping&#8221; in the Strait of Hormuz.,,,KBC Feed,Language: en
PSA_GOV_e18e65,Governance,"Iranian state media reported that air [&#8230;]
The post US renews strikes on Iran as Trump threatens to attack underground nuclear site appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_HEA_17d6f2,Health,"Kenya, Ghana explore health partnership on UHC pharmaceutical manufacturing.",,,KBC Feed,Language: en
PSA_HEA_614679,Health,"Kenya and Ghana are exploring ways to strengthen cooperation in the health sector, with a focus on Universal Health Coverage (UHC), digital health, pharmaceutical manufacturing and health security.",,,KBC Feed,Language: en
PSA_GOV_9c57c8,Governance,This follows discussions between Medical Services PS Dr.,,,KBC Feed,Language: en
PSA_GOV_21d727,Governance,"Ouma Oluga and Kenya’s Ambassador to Ghana, Col.",,,KBC Feed,Language: en
PSA_HEA_c19ad0,Health,"(Rtd) Shem Ishahilidza Amadi, at the Kenyan Embassy in Accra on [&#8230;]
The post Kenya, Ghana explore health partnership on UHC pharmaceutical manufacturing appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_GOV_4c5fa5,Governance,"Kenya has what it takes to become first-world, says Nyong’o.",,,KBC Feed,Language: en
PSA_GOV_b81eec,Governance,"Kisumu Governor highlights the need for sustained political commitment, robust institutions, and national unity.",,,KBC Feed,Language: en
PSA_GOV_c72e56,Governance,"The post Kenya has what it takes to become first-world, says Nyong&#8217;o appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_GOV_69daf2,Governance,"Moses Ali as freedom fighter, peacemaker.",,,KBC Feed,Language: en
PSA_GOV_1a4b9c,Governance,Uganda President Yoweri Museveni has eulogised the late Gen.,,,KBC Feed,Language: en
PSA_GOV_9697a0,Governance,"(Rtd) Moses Ali as a freedom fighter, peacemaker and development champion whose contribution to the country will be remembered for generations.",,,KBC Feed,Language: en
PSA_GOV_306001,Governance,"Museveni made the remarks during a special parliamentary sitting held to honour the former Second Deputy Prime Minister and Adjumani West County Member of Parliament, [&#8230;]
The post Museveni eulogises late Gen.",,,KBC Feed,Language: en
PSA_GOV_679da5,Governance,"Moses Ali as freedom fighter, peacemaker appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_GOV_0355d2,Governance,"Wetang’ula rallies Mandera to back Ruto’s re-election bid, cites ID reforms and mega projects.",,,KBC Feed,Language: en
PSA_GOV_7387c8,Governance,"National Assembly Speaker Moses Wetang&#8217;ula has intensified campaigns for President William Ruto&#8217;s re-election, urging residents of Mandera County to back the Head of State for a second term saying his administration had ended decades of discrimination against Northern Kenya and was delivering long-overdue development projects.",,,KBC Feed,Language: en
PSA_GOV_904eba,Governance,"Speaking on Tuesday during the Lafey Constituency Empowerment Programme in [&#8230;]
The post Wetang&#8217;ula rallies Mandera to back Ruto’s re-election bid, cites ID reforms and mega projects appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_GOV_ca685c,Governance,Kamariny Stadium construction back on track as construction gains momentum.,,,KBC Feed,Language: en
PSA_GOV_ddda07,Governance,"Construction activity at the proposed Kamariny Stadium in Elgeyo Marakwet County has intensified, with engineering teams working continuously to deliver a modern sporting facility that is expected to redefine sports infrastructure in one of Kenya&#8217;s most celebrated athletics regions.",,,KBC Feed,Language: en
PSA_GOV_2ee208,Governance,"At the centre of the works is site engineer Martin Moremi Gakero, who oversees structural implementation, [&#8230;]
The post Kamariny Stadium construction back on track as construction gains momentum appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_GOV_ccf6bd,Governance,"Isaac Mwaura redesignated as Head of the Office of Diversity, Inclusion and Disability Rights in the Executive Office of the President.",,,KBC Feed,Language: en
PSA_GOV_2ba983,Governance,The post Charles Owino appointed Government Spokesperson appeared first on KBC Digital.,,,KBC Feed,Language: en
PSA_GOV_6c8cc4,Governance,"Visa applications by Kenyans up 20pc on work, business travel.",,,KBC Feed,Language: en
PSA_GOV_55e76b,Governance,The volume of visa applications by Kenyans seeking to travel abroad has grown by 20pc in the first half of this year according to latest data by VFS Global.,,,KBC Feed,Language: en
PSA_GOV_ff0396,Governance,"According to the firm, the growth in the outbound travel among Kenyans in six months of the year to June 2026 has been driven by traditional [&#8230;]
The post Visa applications by Kenyans up 20pc on work, business travel appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_EDU_1a33bd,Education,"Ruto announces full funding for all students placed in universities, colleges.",,,KBC Feed,Language: en
PSA_EDU_0a37bb,Education,The President urged Parliament to swiftly pass amendments to HELB Act to pave the way for the rollout of the new funding model for students enrolling in institutions in September 2026.,,,KBC Feed,Language: en
PSA_EDU_97e999,Education,"The post Ruto announces full funding for all students placed in universities, colleges appeared first on KBC Digital.",,,KBC Feed,Language: en
PSA_SEC_14b884,Security,22 charged over footbridge traffic obstruction.,,,KBC Feed,Language: en
PSA_SEC_cf3555,Security,"Twenty-two pedestrians have been arraigned in court for allegedly obstructing the free flow of traffic at the Allsops footbridge, in Nairobi.",,,KBC Feed,Language: en
PSA_SEC_0a9d28,Security,The National Transport and Safety Authority (NTSA) said the action is part of efforts to improve road safety and encourage pedestrians to use designated crossing points.,,,KBC Feed,Language: en
PSA_SEC_7889e2,Security,"The agency noted that it is working together [&#8230;]
The post 22 charged over footbridge traffic obstruction appeared first on KBC Digital.",,,KBC Feed,Language: en
