pair_id,psa_id,Domain,source_lang,target_lang,source_text,target_text,method,confidence,verified,Source,Metadata
guz_tpl_000015,psa_2026_000004,Governance,en,guz,"For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByelections #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",iebc nigo ekoragereria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Voting_Procedure,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000004_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000016,psa_2026_000005,Governance,en,guz,IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach14th Jul 2026.,"ALERT. IEBC nigo ekoransia abakori ba emebero go korusia ebirengo viao goika portal ya goseka goika Machakos County. Korusia goika chinsa 7. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000005_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000017,psa_2026_000005,Governance,en,guz,"The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr.","ADVISORY. IEBC nigo ekoiria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Korusia goika chinsa 7. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000005_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000018,psa_2026_000005,Governance,en,guz,"Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon.","EACC nigo ekoragereria abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000005_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000019,psa_2026_000005,Governance,en,guz,"David Gikaria, guilty of breaching the Electoral Code of Conduct.","Public Service Commission nigo ekoransia abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000005_s04"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000020,psa_2026_000005,Governance,en,guz,"The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks.",Kenya Revenue Authority nigo ekoragereria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Korusia goika chinsa 7. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000005_s05"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000021,psa_2026_000005,Governance,en,guz,"He was also warned against committing similar violations in future, with the Committee cautioning that any",Public Service Commission nigo ekoragereria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Rituko: 22 March 2026. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000005_s06"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000022,psa_2026_000006,Governance,en,guz,Accreditation Open for Election Observers and Media Practitioners for Ol-Kalou By-Election4th Jun 2026.,Kenya Revenue Authority nigo ekoiria abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000006_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000023,psa_2026_000006,Governance,en,guz,PUBLIC NOTICE The Independent Electoral and Boundaries Commission (IEBC) invites applications from eligible organizations to be accredited as: 1.,"IEBC nigo ekoiria abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Kobwata gotanga 8 April 2026. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000006_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000024,psa_2026_000006,Governance,en,guz,"Media Practitioners for the Ol-Kalou Constituency Member of National Assembly (MNA) By-Election scheduled for Thursday, 16th July 2026.","IEBC nigo ekoragereria abarori go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000006_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000025,psa_2026_000006,Governance,en,guz,"How to Apply: Submit your application via the IEBC Accreditation Management System (AMS): https://ams.iebc.or.ke Application Deadline: Tuesday, 30th June 2026 at 5.00 p.m.",IEBC nigo ekoransia abanto bonsi go korusia ebirengo viao goika portal ya goseka. Rituko: 17 February 2026. Amachiko ande nigo agochia goika chinsa chia goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000006_s04"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000026,psa_2026_000007,Governance,en,guz,Public Notice: No Photos or Videos Allowed Inside Polling Booths14th May 2026.,ALERT. EACC nigo ekoransia abarori go korusia ebirengo viao goika portal ya goseka goika Nakuru County. Ororagererio rwa rero rwatangire buna. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000007_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000027,psa_2026_000007,Governance,en,guz,Public Notice DO NOT take Photos or Record videos in the Polling Booth.,Kenya Revenue Authority nigo ekoransia abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Rituko: 14 June 2026. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000007_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000028,psa_2026_000007,Governance,en,guz,The secrecy and sanctity of the vote must be preserved at all times.,Kenya Revenue Authority nigo ekoragereria abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Rituko: 11 December 2026. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000007_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000029,psa_2026_000007,Governance,en,guz,Photography and Video Recording is strictly PROHIBITED in the POLLING BOOTH.,IEBC nigo ekoransia abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Kobwata gotanga 6 July 2026. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000007_s04"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000030,psa_2026_000007,Governance,en,guz,"Doing so constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016.","Huduma Kenya nigo ekoransia abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Kobwata gotanga 21 January 2026. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000007_s05"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000031,psa_2026_000007,Governance,en,guz,"Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purpose",Public Service Commission nigo ekoragereria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000007_s06"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000032,psa_2026_000010,Governance,en,guz,Distance is not a barrier to Democracy...21st Apr 2026.,"EACC nigo ekoragereria abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Kobwata gotanga 9 July 2026. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000010_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000033,psa_2026_000010,Governance,en,guz,"Distance is not a barrier to Democracy...A return trip of approximately 1,060 kilometres from Nairobi, through punishing terrain and a hostile climate, lies a truth we often forget: Every Kenyan voice matters.",ALERT. Kenya Revenue Authority nigo ekoransia abarori go korusia ebirengo viao goika portal ya goseka goika Machakos County. Ororagererio rwa rero rwatangire buna. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000010_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000034,psa_2026_000010,Governance,en,guz,Alutalala Mukhwana is currently in Marsabit County to support our dedicated Independent Electoral and Boundaries Commission(IEBC) staff and engage with the resilient people of this vast region.,"ADVISORY. IEBC nigo ekoiria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Korusia goika chinsa 7. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000010_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000035,psa_2026_000010,Governance,en,guz,"Seeing the ""forgotten"" corners like Saru finally reached, and residents registered, reminds us that no community is too far and no dista","Kenya Revenue Authority nigo ekoragereria abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000010_s04"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.688812+00:00""}"
guz_tpl_000036,psa_2026_000012,Governance,en,guz,14 days to the end of Enhanced Continuous Voter Registration (ECVR2026).14th Apr 2026. 14 days to the end of Enhanced Continuous Voter Registration (#ECVR2026).,"EACC nigo ekoragereria abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Rituko: 22 July 2026. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000012_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.688812+00:00""}"
guz_tpl_000037,psa_2026_000012,Governance,en,guz,Enhanced Continuous Voter Registration (#ECVR2026) will END on Tuesday 28th April 2026.,Public Service Commission nigo ekoiria abarori go korusia ebirengo viao goika portal ya goseka. Korusia goika chinsa 7. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000012_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.688812+00:00""}"
guz_tpl_000038,psa_2026_000012,Governance,en,guz,You do not need to travel to your home county to register.,"ALERT. EACC nigo ekoransia abarori go korusia ebirengo viao goika portal ya goseka goika Nyamira County. Rituko: 20 August 2026. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000012_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.688812+00:00""}"
guz_tpl_000039,psa_2026_000012,Governance,en,guz,"The Commission has deployed open kits, which allow a citizen to register as a voter for any polling station in Kenya from the registration center near you.",Public Service Commission nigo ekoragereria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Korusia goika chinsa 7. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000012_s04"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.688812+00:00""}"
